username,password,gross_monthly_income,total_monthly_debt_payments,total_credit_limit,credit_history_length_months,new_credit_inquiries_last_6m,late_payment_count,transaction_id,transaction_date,transaction_amount,transaction_category,score_of_last_month,score_of_2_months_ago,score_of_3_months_ago,score_of_4_months_ago,score_of_5_months_ago,score_of_6_months_ago,score_of_7_months_ago,score_of_8_months_ago
emily_r,password,9500,2200,35000,180,0,0,1001,2025-07-15T10:00:00Z,9500.00,Income,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1002,2025-07-15T12:30:00Z,-1800.00,Mortgage,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1003,2025-07-16T08:45:00Z,-450.00,Auto Loan,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1004,2025-07-18T18:00:00Z,-125.50,Dining,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1005,2025-07-20T11:00:00Z,-210.25,Groceries,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1006,2025-07-22T09:00:00Z,-150.00,Utilities,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1007,2025-07-25T14:20:00Z,-75.80,Shopping,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1008,2025-07-28T07:30:00Z,-55.00,Transport,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1009,2025-08-01T16:00:00Z,-500.00,Investment,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1010,2025-08-05T19:00:00Z,-95.00,Entertainment,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1011,2025-08-10T13:00:00Z,-180.40,Groceries,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1012,2025-08-15T10:00:00Z,9500.00,Income,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1013,2025-08-15T12:30:00Z,-1800.00,Mortgage,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1014,2025-08-16T08:45:00Z,-450.00,Auto Loan,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1015,2025-08-19T20:00:00Z,-250.00,Travel,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1016,2025-08-22T09:00:00Z,-145.50,Utilities,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1017,2025-08-25T15:00:00Z,-112.00,Shopping,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1018,2025-08-28T07:30:00Z,-60.00,Transport,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1019,2025-09-01T16:00:00Z,-500.00,Investment,810,805,802,800,795,798,790,785
emily_r,password,9500,2200,35000,180,0,0,1020,2025-09-05T12:00:00Z,-190.70,Groceries,810,805,802,800,795,798,790,785
liam_p,password,5500,1800,12000,48,2,1,2001,2025-07-15T09:00:00Z,2750.00,Income,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2002,2025-07-16T12:00:00Z,-1200.00,Rent,710,715,720,718,725,722,730,728
liam_p,password,5500,1800,12000,48,2,1,2003,2025-07-17T19:30:00Z,-88.00,Dining,710,715,720,718,725,722,730,728
